Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
53021,Franklin County,92,-95.22,33.2,3276.15,0.03,0.39,761.0,27.0,44227.0,40.0,3.0,2045.0,18.0,3.0,1785.0,2104.0,301.0,124747.0,1736.0,132.0,111653.0,204.0,21.0,7370.0,382.0,49.0,26287.0,288.0,82.0,11068.0,585.0,100.0,30661.0,146.0,4.0,10697.0,1145.0,104.0,48881.0,315.0,18.0,15761.0,3053.0,156.0,169412.0,339.0,16.0,10167.0,2118.0,142.0,40958.0,765.0,160.0,24888.0,,,
53023,Garfield County,2,-107.88,39.55,1859.45,0.0,0.0,,,,,,,,,,15.0,5.0,543.0,80.0,6.0,3729.0,,,,16.0,5.0,524.0,,,,,,,,,,,,,,,,108.0,6.0,3965.0,,,,11.0,3.0,119.0,12.0,3.0,99.0,,,
53025,Grant County,96,-96.03,45.94,7230.1,0.01,0.47,454.0,23.0,20455.0,,,,14.0,7.0,144.0,1200.0,218.0,74539.0,2031.0,138.0,108572.0,413.0,30.0,27975.0,541.0,96.0,33304.0,295.0,120.0,8582.0,1315.0,108.0,97808.0,352.0,3.0,18113.0,1047.0,72.0,42405.0,111.0,14.0,2347.0,3055.0,167.0,141302.0,247.0,21.0,7052.0,2294.0,204.0,47729.0,702.0,178.0,17647.0,2.0,3.0,52.0
53027,Grays Harbor County,73,-123.87,47.17,5015.06,0.01,0.41,352.0,61.0,23751.0,,,,42.0,3.0,3626.0,877.0,165.0,54505.0,714.0,45.0,36470.0,149.0,21.0,6871.0,492.0,67.0,26516.0,336.0,74.0,9597.0,369.0,72.0,30134.0,,,,632.0,57.0,18395.0,19.0,7.0,383.0,2774.0,173.0,136947.0,223.0,26.0,3882.0,2394.0,222.0,52036.0,924.0,152.0,19645.0,8.0,6.0,150.0
53029,Island County,83,-122.68,48.22,549.4,0.15,0.58,24.0,25.0,1910.0,,,,65.0,13.0,2967.0,1380.0,325.0,73643.0,173.0,35.0,11027.0,233.0,30.0,10601.0,357.0,78.0,23136.0,387.0,128.0,14697.0,721.0,178.0,42830.0,22.0,3.0,1384.0,401.0,123.0,13818.0,224.0,32.0,6465.0,2535.0,163.0,126188.0,336.0,46.0,10450.0,1983.0,161.0,46024.0,878.0,177.0,22066.0,13.0,6.0,310.0
53031,Jefferson County,31,-94.17,29.83,4736.72,0.01,0.04,34.0,12.0,3004.0,28.0,3.0,1598.0,,,,682.0,166.0,33832.0,98.0,22.0,3987.0,135.0,23.0,6550.0,150.0,34.0,10071.0,160.0,62.0,6532.0,304.0,106.0,15005.0,23.0,3.0,846.0,163.0,37.0,6408.0,129.0,22.0,3366.0,1419.0,105.0,77202.0,155.0,28.0,4186.0,1084.0,112.0,25023.0,578.0,107.0,17990.0,5.0,6.0,93.0
53033,King County,2196,-100.22,33.59,5676.65,0.39,0.2,1269.0,210.0,125443.0,229.0,21.0,12989.0,5207.0,45.0,635470.0,72924.0,6568.0,6003713.0,63697.0,3625.0,5197798.0,124009.0,1964.0,24954955.0,51351.0,3578.0,5620453.0,26912.0,5180.0,1952772.0,125021.0,11000.0,13712625.0,90966.0,604.0,13416895.0,65096.0,3527.0,3889750.0,27658.0,1534.0,977600.0,158642.0,8126.0,10019449.0,32716.0,1329.0,1414556.0,122992.0,6754.0,3566246.0,52996.0,6103.0,2414007.0,98.0,116.0,4367.0
53035,Kitsap County,266,-122.65,47.59,1124.82,0.24,0.7,96.0,38.0,7526.0,,,,142.0,11.0,15003.0,4704.0,895.0,279306.0,948.0,143.0,60121.0,883.0,110.0,71016.0,1741.0,310.0,117268.0,1175.0,428.0,55757.0,4958.0,731.0,321547.0,434.0,22.0,28420.0,3522.0,354.0,120517.0,658.0,89.0,18528.0,13905.0,719.0,769472.0,1536.0,98.0,32301.0,10248.0,546.0,235956.0,3548.0,589.0,105887.0,10.0,8.0,409.0
53037,Kittitas County,46,-120.58,47.11,6040.11,0.01,0.97,136.0,13.0,8176.0,,,,41.0,9.0,3912.0,992.0,251.0,57670.0,593.0,46.0,34846.0,241.0,17.0,8420.0,232.0,55.0,12971.0,179.0,70.0,9992.0,336.0,100.0,16680.0,11.0,4.0,534.0,352.0,74.0,14231.0,220.0,13.0,3204.0,1859.0,105.0,79237.0,1216.0,31.0,10794.0,2624.0,163.0,58092.0,541.0,104.0,15680.0,2.0,4.0,88.0
53039,Klickitat County,22,-120.8,45.88,4933.84,0.0,0.25,386.0,18.0,17037.0,,,,56.0,9.0,6357.0,222.0,94.0,9761.0,212.0,16.0,13549.0,41.0,9.0,2016.0,66.0,20.0,3071.0,41.0,29.0,961.0,338.0,53.0,19815.0,,,,237.0,21.0,14930.0,35.0,5.0,885.0,587.0,43.0,31493.0,40.0,12.0,1659.0,363.0,52.0,9985.0,201.0,54.0,7771.0,,,
53041,Lewis County,78,-91.7,40.09,6310.16,0.01,0.13,818.0,75.0,39706.0,124.0,8.0,7937.0,219.0,8.0,27139.0,1111.0,249.0,67774.0,674.0,78.0,30995.0,190.0,29.0,7609.0,382.0,88.0,21565.0,370.0,91.0,20007.0,639.0,111.0,30227.0,76.0,3.0,2951.0,1258.0,74.0,36476.0,178.0,12.0,3992.0,3867.0,206.0,202271.0,187.0,23.0,2379.0,2448.0,203.0,48451.0,832.0,183.0,22370.0,13.0,5.0,324.0
53043,Lincoln County,11,-81.21,35.49,6057.31,0.0,0.11,,,,,,,25.0,4.0,1964.0,337.0,44.0,18665.0,245.0,30.0,12517.0,25.0,6.0,521.0,67.0,21.0,2644.0,18.0,7.0,607.0,107.0,22.0,7057.0,,,,50.0,7.0,2071.0,17.0,3.0,364.0,377.0,14.0,17163.0,15.0,6.0,798.0,60.0,14.0,1093.0,45.0,29.0,1166.0,,,
53045,Mason County,64,-99.22,30.71,2593.1,0.02,0.26,182.0,20.0,13028.0,39.0,4.0,2247.0,11.0,5.0,307.0,798.0,212.0,34470.0,467.0,38.0,23192.0,88.0,13.0,4401.0,285.0,44.0,16545.0,121.0,57.0,4186.0,252.0,65.0,12991.0,,,,216.0,44.0,8430.0,31.0,8.0,701.0,1948.0,102.0,96952.0,164.0,20.0,6488.0,1741.0,103.0,49958.0,454.0,99.0,12332.0,7.0,4.0,151.0
53047,Okanogan County,42,-119.65,48.52,13763.55,0.0,0.02,318.0,41.0,9360.0,,,,27.0,5.0,2113.0,443.0,167.0,21650.0,369.0,36.0,18610.0,197.0,21.0,7580.0,203.0,38.0,10724.0,108.0,44.0,2396.0,207.0,76.0,8568.0,,,,139.0,54.0,5628.0,41.0,14.0,972.0,1706.0,107.0,80576.0,367.0,33.0,8335.0,1156.0,121.0,27525.0,284.0,94.0,6661.0,13.0,10.0,652.0
53049,Pacific County,22,-123.77,46.53,2445.02,0.01,0.3,328.0,44.0,14848.0,12.0,3.0,368.0,,,,276.0,67.0,11900.0,59.0,8.0,1329.0,42.0,11.0,1538.0,120.0,24.0,5542.0,122.0,24.0,4648.0,133.0,41.0,5907.0,,,,77.0,18.0,2185.0,,,,664.0,37.0,37455.0,50.0,14.0,1474.0,892.0,115.0,20418.0,193.0,57.0,4638.0,1.0,3.0,36.0
53051,Pend Oreille County,13,-117.28,48.52,3691.8,0.0,0.07,30.0,4.0,2068.0,,,,,,,120.0,43.0,5436.0,17.0,6.0,727.0,40.0,7.0,1930.0,56.0,15.0,3191.0,38.0,8.0,769.0,76.0,17.0,3055.0,,,,17.0,8.0,370.0,,,,435.0,27.0,23297.0,20.0,5.0,569.0,195.0,21.0,3752.0,85.0,25.0,1658.0,,,
53053,Pierce County,877,-82.24,31.34,4398.85,0.2,0.41,296.0,85.0,16286.0,203.0,8.0,15064.0,596.0,28.0,55696.0,23642.0,2755.0,1684641.0,12649.0,806.0,803301.0,2778.0,225.0,157851.0,9000.0,958.0,709288.0,5329.0,1272.0,261681.0,9875.0,1626.0,625478.0,8868.0,81.0,461688.0,15442.0,1089.0,696053.0,6843.0,206.0,190505.0,54596.0,2096.0,3597720.0,8213.0,267.0,215951.0,30140.0,1662.0,692851.0,13123.0,1868.0,463620.0,32.0,29.0,1508.0
53055,San Juan County,17,-107.65,37.76,499.83,0.03,0.23,7.0,11.0,216.0,,,,116.0,9.0,10126.0,883.0,252.0,40518.0,26.0,14.0,924.0,85.0,18.0,4244.0,141.0,25.0,9488.0,130.0,61.0,5558.0,245.0,110.0,15861.0,,,,337.0,59.0,10281.0,84.0,14.0,2958.0,417.0,63.0,19014.0,200.0,38.0,6098.0,1128.0,107.0,38602.0,221.0,65.0,6628.0,,,
