Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
38083,Sheridan County,1,-100.46,39.35,2604.04,0.0,0.0,,,,,,,,,,3.0,4.0,243.0,,,,,,,7.0,3.0,306.0,,,,13.0,4.0,626.0,,,,,,,,,,24.0,3.0,738.0,,,,18.0,3.0,190.0,14.0,9.0,285.0,,,
38085,Sioux County,4,-96.16,43.06,2921.91,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,480.0,,,,,,,,,,53.0,4.0,1452.0,,,,402.0,6.0,11903.0,23.0,4.0,650.0,,,
38087,Slope County,1,-103.45,46.45,3159.14,0.0,0.0,,,,35.0,4.0,3202.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,24.0,,,,,,,,,,,,,,,,,,
38089,Stark County,31,-89.81,41.07,3471.46,0.01,0.07,8.0,6.0,327.0,2261.0,70.0,221062.0,82.0,3.0,7675.0,1370.0,140.0,128440.0,789.0,72.0,56495.0,228.0,16.0,13454.0,382.0,55.0,23845.0,195.0,54.0,13355.0,493.0,90.0,33036.0,381.0,8.0,40053.0,444.0,57.0,12687.0,156.0,11.0,3780.0,2094.0,92.0,78755.0,192.0,19.0,2668.0,1409.0,89.0,27981.0,625.0,116.0,27498.0,4.0,4.0,94.0
38091,Steele County,2,-93.22,44.01,1852.77,0.0,0.0,,,,,,,,,,97.0,9.0,6910.0,65.0,5.0,4001.0,,,,47.0,6.0,3114.0,,,,6.0,3.0,74.0,,,,,,,,,,,,,,,,26.0,8.0,311.0,10.0,6.0,252.0,,,
38093,Stutsman County,21,-98.97,46.96,5951.72,0.0,0.0,,,,,,,91.0,4.0,9778.0,362.0,75.0,17698.0,451.0,47.0,27355.0,154.0,15.0,5541.0,484.0,50.0,30023.0,60.0,29.0,1767.0,230.0,33.0,10981.0,,,,183.0,26.0,5661.0,649.0,7.0,10445.0,2694.0,68.0,134678.0,40.0,13.0,845.0,812.0,61.0,12611.0,414.0,78.0,11571.0,,,
38095,Towner County,2,-99.23,48.65,2697.61,0.0,0.0,,,,,,,,,,10.0,5.0,294.0,63.0,10.0,5048.0,,,,47.0,12.0,2089.0,,,,20.0,7.0,1014.0,,,,10.0,3.0,782.0,,,,152.0,3.0,5492.0,,,,22.0,6.0,251.0,26.0,9.0,443.0,,,
38097,Traill County,8,-97.18,47.44,2233.63,0.0,0.0,60.0,8.0,4237.0,,,,,,,137.0,35.0,6852.0,333.0,33.0,18475.0,17.0,4.0,384.0,135.0,23.0,9194.0,7.0,8.0,133.0,47.0,15.0,2034.0,,,,44.0,5.0,3067.0,,,,595.0,17.0,28695.0,,,,158.0,21.0,2138.0,90.0,39.0,1985.0,,,
38099,Walsh County,11,-97.75,48.37,3351.26,0.0,0.0,22.0,5.0,1076.0,,,,,,,117.0,38.0,5633.0,344.0,35.0,22043.0,91.0,7.0,5231.0,175.0,35.0,9252.0,26.0,11.0,423.0,94.0,23.0,4115.0,,,,142.0,13.0,2469.0,,,,713.0,43.0,27783.0,32.0,8.0,398.0,162.0,26.0,2017.0,132.0,46.0,2834.0,,,
38101,Ward County,69,-103.08,31.5,5324.74,0.01,0.09,7.0,3.0,253.0,2075.0,57.0,269759.0,139.0,9.0,14432.0,1340.0,230.0,91113.0,1638.0,116.0,109768.0,393.0,22.0,25441.0,983.0,133.0,67657.0,440.0,109.0,26990.0,1169.0,171.0,64881.0,132.0,12.0,12606.0,1012.0,96.0,30096.0,175.0,19.0,5106.0,4992.0,175.0,290811.0,486.0,48.0,9604.0,3756.0,177.0,61833.0,1177.0,210.0,37715.0,2.0,3.0,68.0
38103,Wells County,4,-85.21,40.7,3342.28,0.0,0.0,3.0,3.0,185.0,,,,,,,35.0,24.0,1940.0,226.0,15.0,15128.0,15.0,3.0,285.0,78.0,13.0,3467.0,5.0,3.0,127.0,17.0,9.0,680.0,,,,,,,,,,413.0,20.0,13076.0,,,,95.0,16.0,1048.0,86.0,26.0,2036.0,,,
38105,Williams County,35,-84.59,41.5,5562.96,0.01,0.22,,,,5810.0,142.0,618107.0,189.0,15.0,18626.0,2592.0,148.0,226360.0,1878.0,128.0,143024.0,166.0,13.0,9127.0,388.0,50.0,23537.0,840.0,126.0,65510.0,737.0,153.0,72948.0,102.0,7.0,6573.0,754.0,69.0,34324.0,70.0,6.0,3135.0,1460.0,88.0,72660.0,192.0,22.0,8552.0,1985.0,127.0,47621.0,637.0,130.0,27662.0,,,
