Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
40111,Okmulgee County,39,-95.97,35.67,1818.74,0.02,0.44,5.0,3.0,95.0,67.0,24.0,1802.0,0.0,3.0,0.0,143.0,35.0,5286.0,104.0,18.0,4308.0,51.0,10.0,2042.0,301.0,57.0,10959.0,30.0,14.0,915.0,216.0,48.0,10025.0,,,,137.0,24.0,4005.0,,,,1454.0,105.0,43082.0,0.0,5.0,0.0,875.0,63.0,10625.0,318.0,80.0,5315.0,,,
40113,Osage County,47,-95.73,38.65,5967.11,0.01,0.16,2.0,3.0,49.0,386.0,45.0,23957.0,26.0,4.0,1983.0,395.0,77.0,13429.0,86.0,17.0,3889.0,33.0,7.0,1560.0,211.0,36.0,10642.0,39.0,16.0,1657.0,154.0,44.0,7123.0,,,,385.0,29.0,13802.0,17.0,4.0,742.0,812.0,46.0,23215.0,534.0,15.0,16414.0,821.0,55.0,13802.0,460.0,56.0,19641.0,,,
40115,Ottawa County,32,-83.21,41.54,1255.22,0.03,0.38,,,,,,,,,,135.0,44.0,3359.0,131.0,22.0,4149.0,48.0,10.0,1591.0,313.0,45.0,12405.0,61.0,21.0,1362.0,255.0,41.0,10450.0,0.0,4.0,0.0,406.0,20.0,7822.0,,,,1482.0,72.0,48870.0,359.0,9.0,8702.0,3026.0,64.0,80604.0,339.0,79.0,6965.0,,,
40117,Pawnee County,16,-99.24,38.19,1540.38,0.01,0.15,,,,189.0,22.0,7861.0,0.0,3.0,0.0,93.0,25.0,3742.0,66.0,8.0,1164.0,16.0,5.0,568.0,88.0,20.0,3940.0,,,,0.0,24.0,0.0,,,,24.0,9.0,753.0,,,,495.0,28.0,13925.0,,,,213.0,20.0,2686.0,87.0,28.0,1525.0,,,
40119,Payne County,81,-96.95,36.07,1805.29,0.04,0.34,,,,1087.0,64.0,81720.0,125.0,6.0,8158.0,1157.0,182.0,56974.0,538.0,63.0,24695.0,423.0,42.0,19014.0,922.0,121.0,42037.0,392.0,84.0,12559.0,1156.0,154.0,53894.0,158.0,8.0,8135.0,879.0,84.0,31280.0,117.0,12.0,1967.0,3769.0,170.0,159132.0,478.0,28.0,9761.0,4647.0,226.0,59137.0,1511.0,192.0,38130.0,,,
40121,Pittsburg County,45,-95.76,34.93,3568.25,0.01,0.15,,,,140.0,22.0,10319.0,105.0,9.0,10746.0,420.0,57.0,18447.0,507.0,45.0,24969.0,261.0,18.0,10374.0,419.0,71.0,17684.0,145.0,39.0,5086.0,371.0,96.0,15791.0,0.0,4.0,0.0,368.0,33.0,13423.0,20.0,6.0,759.0,2326.0,119.0,95507.0,42.0,7.0,953.0,1484.0,97.0,20706.0,455.0,92.0,10164.0,6.0,3.0,55.0
40123,Pontotoc County,38,-89.04,34.21,1878.17,0.02,0.33,,,,216.0,37.0,14090.0,164.0,3.0,9333.0,455.0,75.0,20073.0,440.0,43.0,18973.0,107.0,13.0,4210.0,1061.0,74.0,54050.0,159.0,40.0,6570.0,314.0,80.0,13389.0,86.0,5.0,1986.0,754.0,41.0,17914.0,6.0,4.0,75.0,3741.0,128.0,190321.0,195.0,16.0,5452.0,1325.0,72.0,18560.0,539.0,100.0,11877.0,,,
40125,Pottawatomie County,72,-96.34,39.39,2054.86,0.04,0.38,,,,430.0,32.0,24096.0,99.0,6.0,7937.0,638.0,112.0,24681.0,318.0,39.0,14229.0,340.0,24.0,15354.0,649.0,99.0,26370.0,205.0,50.0,6086.0,664.0,100.0,29336.0,301.0,10.0,9662.0,976.0,52.0,22293.0,0.0,6.0,0.0,2927.0,179.0,109988.0,243.0,16.0,4464.0,2847.0,138.0,39437.0,803.0,138.0,15175.0,0.0,3.0,99.0
40127,Pushmataha County,11,-95.4,34.41,3685.57,0.0,0.18,16.0,8.0,279.0,,,,6.0,3.0,583.0,90.0,13.0,3115.0,52.0,5.0,2524.0,31.0,4.0,758.0,116.0,12.0,5146.0,8.0,5.0,802.0,39.0,17.0,1250.0,,,,16.0,6.0,439.0,,,,697.0,29.0,20072.0,,,,138.0,20.0,1636.0,57.0,21.0,714.0,,,
40129,Roger Mills County,4,-99.69,35.66,2969.45,0.0,0.3,,,,66.0,13.0,3271.0,,,,15.0,7.0,837.0,,,,,,,,,,,,,14.0,6.0,206.0,,,,21.0,4.0,925.0,,,,0.0,6.0,0.0,,,,33.0,6.0,258.0,27.0,11.0,357.0,,,
