Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
12093,Okeechobee County,40,-80.89,27.39,2308.78,0.0,0.0,23,8,775,,,,24,4,2342,541,128,22038,256,26,12286,79,12,3233,193,37,9660,124,49,4773,218,61,9307,,,,386,63,16281,50,3,1315,1408,113,73331,287,16,10178,978,59,17384,403,92,11693,,,
12095,Orange County,1410,-117.87,33.75,2598.6,3.05,11.49,152,20,5482,26,5,1202,1376,43,91178,38065,4124,2380259,33604,1979,2439465,21647,972,1926863,26220,2268,2517367,22135,3584,1534823,64674,6491,6187193,25821,389,2494025,56135,2914,2208351,13834,641,677443,87173,4119,5452827,58701,892,1991311,103784,3672,2954737,35406,3408,1362045,84,56,2286
12097,Osceola County,380,-81.14,28.04,3900.98,2.56,1.79,19,7,785,,,,61,8,5506,7288,1016,301975,2608,193,114786,745,116,37451,1414,319,79229,4931,701,180021,2177,649,111466,120,15,9360,4289,587,127573,1538,121,45001,13763,820,851598,5526,109,156469,16818,806,424484,3086,664,102714,6,11,135
12099,Palm Beach County,1481,-80.45,26.63,5765.74,2.88,6.28,553,201,29166,95,9,7048,5545,87,987465,37603,5150,2360509,21374,2387,1713468,11670,857,1409859,22973,3369,3581746,15005,3859,1069718,45994,9462,3996003,17769,252,1897452,44016,3959,1930968,11587,747,494823,90619,6530,5056125,19666,1027,784395,63953,3232,1646891,26599,4651,1031372,151,84,7665
12101,Pasco County,552,-82.45,28.3,1991.87,2.23,2.45,71,22,2914,,,,1186,23,82714,9227,1302,471154,2866,368,196317,1193,157,81724,2895,594,175300,1988,735,78200,5236,1295,305402,1148,37,132975,6846,840,257291,2642,151,111436,23633,1486,1359844,1181,157,25751,14091,823,275930,4700,968,141647,8,16,665
12103,Pinellas County,958,-82.73,27.88,849.73,2.47,33.22,66,28,2415,,,,1268,47,135575,21844,2666,1205093,13169,1276,899894,10761,505,814445,28433,1989,2961960,8334,2255,422932,32597,4868,2385826,10565,148,1054180,24175,1966,1096693,6959,402,420308,73563,3797,4339744,7123,561,263913,44775,2474,1108024,17200,2649,556276,32,31,1779
12107,Putnam County,73,-89.27,41.2,2141.78,1.8,0.1,137,10,5642,23,4,1466,315,8,33571,1057,196,41821,176,33,7593,126,20,6207,279,51,14177,146,51,4297,307,87,11644,,,,437,87,16503,95,9,3790,2607,151,110156,54,16,1170,1637,103,26514,731,159,17983,,,
12117,Seminole County,467,-81.24,28.72,894.38,2.29,10.09,41,8,2176,,,,614,24,60962,19154,1735,1177508,6175,670,441773,6077,302,543065,16641,1032,1312464,3750,994,204547,16002,2224,1414039,6421,105,679328,15273,1041,594508,2849,241,100321,21350,1543,1116220,2428,269,67213,17413,966,364285,9489,1184,321039,20,17,553
12109,St. Johns County,266,-81.41,29.9,1744.26,1.94,0.41,24,6,733,17,4,839,72,7,8578,5449,762,329044,1851,248,187141,630,111,47064,1944,444,255142,2032,688,105140,4350,1195,264880,285,23,27348,3987,525,158037,2813,129,97991,9336,818,485917,1779,162,50004,13976,695,338805,4675,614,270544,7,6,97
12111,St. Lucie County,325,-80.46,27.39,1583.72,1.91,3.16,108,8,5877,,,,758,15,109327,5605,1047,256396,2243,293,125580,641,76,39285,1344,285,85599,1088,368,42789,2252,656,124071,278,18,13395,6710,548,191623,1341,79,46302,12987,899,735977,928,95,20979,9459,513,182691,2688,616,83748,4,10,153
12113,Santa Rosa County,184,-87.01,30.7,2974.5,1.88,0.2,99,13,3413,,,,306,18,20725,2756,469,156297,740,74,34352,562,44,30811,735,170,50587,513,273,21129,1576,387,91771,84,6,4137,3155,227,124091,416,32,18234,4672,360,234446,428,45,8168,5333,257,96271,1582,306,45922,,,
12115,Sarasota County,429,-82.36,27.18,1568.5,2.08,2.98,37,11,1417,34,4,2278,316,19,34233,13495,1995,761398,4618,514,288055,2222,197,189814,5060,918,582457,4196,1285,222728,10153,2063,700130,2259,67,246652,9402,1224,395898,2513,181,93955,29380,1737,1740445,3388,227,101776,18649,1017,483379,7555,1389,268203,19,15,2447
12119,Sumter County,127,-82.08,28.67,1502.06,1.83,0.31,28,5,870,83,4,5858,680,9,60484,3843,171,228437,567,62,30184,96,19,5229,1014,133,79602,2348,191,71682,714,175,44704,,,,1310,121,52168,590,18,19793,6010,254,321242,176,25,3756,3740,167,83177,711,137,22175,3,5,137
12133,Washington County,25,-96.39,30.22,1595.37,0.0,0.0,73,7,3998,,,,23,3,1878,385,75,14935,157,11,8480,36,11,1513,88,22,4600,25,19,602,266,34,16131,,,,342,20,12791,38,3,902,738,42,33197,87,8,2929,484,36,7450,296,53,5554,,,
12121,Suwannee County,44,-82.99,30.21,1792.88,0.0,0.0,71,11,3535,26,3,1258,166,4,13505,616,89,36942,300,23,12023,78,12,4306,122,22,7084,72,33,2444,203,59,6649,53,3,3266,211,32,7976,23,5,669,1195,65,42306,22,7,304,1046,55,16644,325,73,9777,,,
12123,Taylor County,22,-99.88,32.28,2728.62,0.0,0.0,222,15,11838,,,,16,4,1597,85,25,3191,102,18,4772,36,7,1531,54,14,2761,36,18,981,314,31,24127,,,,59,15,1168,,,,525,41,22571,11,3,161,550,42,9634,341,49,7815,,,
12125,Union County,16,-89.25,37.46,647.07,0.0,0.0,36,3,1735,,,,,,,159,25,7095,41,6,2001,,,,12,3,394,20,6,538,7,5,350,,,,70,7,4005,,,,300,11,13057,,,,62,5,1393,37,18,1098,,,
12129,Wakulla County,33,-84.35,30.15,1633.01,0.0,0.0,23,5,479,,,,67,7,5064,473,108,18266,14,7,565,169,8,7208,71,17,5012,36,18,1093,159,41,9390,,,,124,31,3741,7,4,240,156,32,5793,57,7,1212,675,40,11420,230,57,6327,,,
12127,Volusia County,549,-81.13,29.05,3279.19,2.0,1.24,45,16,824,25,6,1219,444,22,46211,10801,1734,516838,3762,447,212115,2167,200,97965,5575,724,413968,3168,918,138408,7997,1457,602409,1373,36,251942,8151,1005,324700,7160,161,271560,28448,1548,1513362,5365,236,169513,23369,1315,494296,7287,1377,209642,6,8,220
12131,Walton County,73,-86.19,30.62,2972.83,0.0,0.0,24,7,901,22,6,1262,314,16,20369,2850,429,146079,729,80,44299,224,41,17821,533,141,59740,1656,457,95547,941,330,59360,5,5,816,1411,195,64456,175,17,6495,2241,166,120613,252,44,7241,6192,286,209055,871,206,31174,0,4,118
