Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
31179,Wayne County,9,-88.42,38.43,1148.22,3.83,0.04,,,,,,,,,,93,26,3230,147,15,7526,42,7,1099,302,21,12491,16,6,465,144,15,4345,,,,116,6,2948,,,,504,24,15392,9,4,201,342,25,3331,121,28,2154,,,
31103,Keya Paha County,1,-99.7,42.89,2005.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,4,50,,,,,,,,,,,,,,,,,,,14,7,258,,,
31105,Kimball County,4,-103.7,41.19,2466.96,0.0,0.0,,,,69,18,4178,,,,47,6,1662,0,4,0,7,3,255,45,5,2147,,,,16,8,434,,,,,,,,,,116,6,5317,,,,43,12,747,36,14,1064,,,
31107,Knox County,8,-99.71,33.59,2952.2,0.0,0.0,0,3,0,,,,,,,94,37,2796,199,16,7723,,,,159,20,6869,38,8,847,70,17,1893,,,,17,4,787,,,,509,19,8369,21,4,435,210,20,3678,144,30,3962,,,
31111,Lincoln County,36,-81.21,35.49,6670.29,1.87,0.07,18,6,975,,,,,,,645,87,33003,468,47,20172,273,22,10331,488,82,27075,166,47,6140,342,75,13811,,,,334,42,13682,106,7,1995,3095,145,138080,137,22,2160,1905,101,28006,790,126,18277,,,
31121,Merrick County,8,-98.05,41.17,1286.85,0.0,0.0,,,,,,,,,,154,39,7867,164,25,9990,15,5,590,110,22,4078,20,6,1155,41,8,1558,,,,23,7,638,,,,293,17,10045,24,3,361,204,16,1780,94,26,2561,,,
31139,Pierce County,7,-82.24,31.34,1488.24,0.0,0.0,,,,,,,,,,186,43,8066,136,22,6008,32,6,1087,106,17,5806,15,6,212,50,11,1287,,,,35,5,346,,,,274,18,9788,0,3,0,84,11,563,83,23,1398,,,
31165,Sioux County,1,-96.16,43.06,5354.19,0.0,0.0,,,,,,,,,,,,,,,,,,,10,3,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31021,Burt County,7,-96.34,41.86,1287.26,0.0,0.0,,,,,,,,,,79,30,3585,220,19,9820,,,,68,16,3042,6,5,96,61,9,3650,,,,12,7,404,,,,126,12,2210,65,7,1223,58,13,628,66,23,1914,,,
31025,Cass County,26,-94.35,33.06,1465.55,1.84,0.06,12,3,289,216,6,16483,,,,278,106,11292,150,27,7404,,,,222,44,11126,42,28,1596,141,39,6805,,,,189,34,5342,9,3,49,390,31,9235,124,20,2555,343,35,4987,314,65,7079,,,
31039,Cuming County,9,-96.79,41.92,1488.35,1.74,0.05,,,,,,,,,,193,36,8455,213,30,9651,59,7,2089,210,25,11155,7,4,93,121,24,5918,,,,11,13,416,0,3,0,376,23,16873,0,3,0,252,25,2980,200,49,5626,,,
31051,Dixon County,6,-96.88,42.44,1250.64,0.0,0.0,,,,,,,,,,158,23,9328,17,5,698,,,,43,7,1669,,,,,,,,,,0,5,0,,,,73,6,1530,,,,10,7,100,60,22,1254,,,
31057,Dundy County,2,-101.7,40.18,2385.83,0.0,0.0,,,,,,,,,,13,5,443,0,4,0,,,,14,6,926,,,,14,5,341,,,,,,,,,,0,4,0,,,,24,4,230,17,4,236,,,
31075,Grant County,1,-96.03,45.94,2028.5,0.0,0.0,,,,,,,,,,8,4,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,7,4,91,,,
31077,Greeley County,2,-101.82,38.46,1477.89,0.0,0.0,,,,,,,,,,18,10,760,68,8,2881,,,,34,9,1723,,,,,,,,,,,,,,,,19,3,199,,,,17,4,181,21,7,337,,,
31079,Hall County,61,-100.65,34.5,1430.1,2.2,0.68,0,8,0,,,,0,3,0,1713,238,77563,1463,108,83640,313,27,12687,1256,161,65820,342,76,11504,688,108,33549,0,5,0,1306,89,44292,248,20,4491,4439,195,200764,445,30,8155,2812,167,46865,1467,199,33723,,,
31085,Hayes County,1,-101.06,40.53,1847.71,0.0,0.0,,,,,,,,,,,,,,,,,,,6,4,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31131,Otoe County,16,-96.14,40.66,1603.18,1.73,0.08,,,,,,,,,,229,67,9382,145,23,7667,63,8,2344,176,39,6913,54,20,1679,77,28,2416,,,,31,13,525,0,5,0,786,42,28298,249,14,5954,459,40,4783,188,57,4202,,,
